Run	Experiment	Sample_name	Phenotype
SRR6375927	SRX3470770	GSM2888872	Control
SRR6375928	SRX3470771	GSM2888873	Schizo
SRR6375929	SRX3470772	GSM2888874	Schizo
SRR6375930	SRX3470773	GSM2888875	Schizo
SRR6375931	SRX3470774	GSM2888876	Control
SRR6375932	SRX3470778	GSM2888877	Control
SRR6375933	SRX3470779	GSM2888878	Schizo
SRR6375934	SRX3470780	GSM2888879	Schizo
SRR6375935	SRX3470781	GSM2888880	Schizo
SRR6375936	SRX3470782	GSM2888881	Control
SRR6375937	SRX3470783	GSM2888882	Control
SRR6375938	SRX3470784	GSM2888883	Schizo
SRR6375939	SRX3470786	GSM2888884	Schizo
SRR6375940	SRX3470787	GSM2888885	Schizo
SRR6375941	SRX3470788	GSM2888886	Schizo
SRR6375942	SRX3470789	GSM2888887	Control
SRR6375943	SRX3470790	GSM2888888	Schizo
SRR6375944	SRX3470791	GSM2888889	Control
SRR6375945	SRX3470792	GSM2888890	Control
SRR6375946	SRX3470793	GSM2888891	Schizo
SRR6375947	SRX3470794	GSM2888892	Schizo
SRR6375948	SRX3470795	GSM2888893	Schizo
SRR6375949	SRX3470796	GSM2888894	Control
SRR6375950	SRX3470797	GSM2888895	Schizo
SRR6375951	SRX3470798	GSM2888896	Schizo
SRR6375952	SRX3470799	GSM2888897	Schizo
SRR6375953	SRX3470800	GSM2888898	Schizo
SRR6375954	SRX3470801	GSM2888899	Schizo
SRR6375955	SRX3470802	GSM2888900	Schizo
SRR6375956	SRX3470803	GSM2888901	Schizo
SRR6375957	SRX3470804	GSM2888902	Control
SRR6375958	SRX3470805	GSM2888903	Control
SRR6375959	SRX3470806	GSM2888904	Control
SRR6375960	SRX3470807	GSM2888905	Control
SRR6375961	SRX3470808	GSM2888906	Control
SRR6375962	SRX3470809	GSM2888907	Control
SRR6375963	SRX3470810	GSM2888908	Control
SRR6375964	SRX3470811	GSM2888909	Control
SRR6375965	SRX3470812	GSM2888910	Control
SRR6375966	SRX3470813	GSM2888911	Control
SRR6375967	SRX3470814	GSM2888912	Control
SRR6375968	SRX3470815	GSM2888913	Control
SRR6375969	SRX3470816	GSM2888914	Control
SRR6375970	SRX3470817	GSM2888915	Control
SRR6375971	SRX3470818	GSM2888916	Control
SRR6375972	SRX3470819	GSM2888917	Schizo
SRR6375973	SRX3470820	GSM2888918	Schizo
SRR6375974	SRX3470821	GSM2888919	Schizo
SRR6375975	SRX3470822	GSM2888920	Schizo
SRR6375976	SRX3470823	GSM2888921	Control
SRR6375977	SRX3470824	GSM2888922	Schizo
SRR6375978	SRX3470825	GSM2888923	Schizo
SRR6375979	SRX3470826	GSM2888924	Schizo
SRR6375980	SRX3470827	GSM2888925	Schizo
